,vehicle_count,average_speed,lane_occupancy,flow_rate,time_of_day,waiting_time,avg_speed_kmph,density_veh_per_km,avg_wait_time_s,occupancy_pct,flow_veh_per_hr,queue_length_veh,avg_accel_ms2,SRI,Degree_of_congestion
0,54,10.21610043,59.92021794,1467,evening,12.52445765,43.38,24.78,20.57,39.85,1463.49,7.36,0.488,-0.40816322,Very smooth
1,75,63.64215981,87.6348213,1098,afternoon,44.82814244,4.5,89.61,120.69,95.67,105.16,55.69,-1.047,1.2068965,Smooth
2,95,37.38076004,0.765823053,1411,night,80.4384258,45.68,29.45,17.79,42.26,1536.62,11.43,0.462,5.142857,Heavy congestion
3,87,59.81208648,75.96124577,892,evening,11.2636874,44.34,30.17,27.13,34.66,1486.33,9.63,0.55,1.570248,Smooth
4,38,48.43182061,43.52847751,949,night,18.1415487,66.86,5.3,7.86,12.45,1954.74,1.75,0.757,5.142857,Heavy congestion
5,36,62.27968757,12.40601639,1223,evening,2.7474296,26.35,56.95,48.62,68.42,816.24,23.03,-0.235,3.0136988,Mild congestion
6,96,49.78069794,58.24577392,712,morning,10.47995171,71.29,8.81,4.03,11.3,2018.04,3.29,0.783,2.3880599,Smooth
7,87,25.05420155,53.26149236,779,morning,23.70577739,69.4,9.94,7.63,10.34,1974.18,2.7,0.893,2.3880599,Smooth
8,69,17.80728789,84.23080381,714,evening,5.960409563,70.53,11.48,5.27,11.25,1904.79,1.81,0.754,3.544304,Mild congestion
9,110,23.06913055,52.15627431,831,evening,23.10101339,68.12,8.78,8.33,5.89,1971.5,2.16,0.75,2.906977,Mild congestion
10,111,27.73434101,82.73518701,1452,night,11.25744586,68.21,11.18,4.8,9.18,1976.92,1.48,0.891,1.2857143,Smooth
11,113,58.76765275,54.44892462,938,night,138.2997854,25.89,57.59,47.52,69.65,805.43,23.19,-0.338,1.4084508,Smooth
12,98,69.20409835,44.69455833,1389,evening,14.13431018,3.78,89.07,119.12,93.31,77.5,61.02,-0.936,4.649123,Mild congestion
13,117,43.77437406,37.11839007,904,evening,1.195181422,45.9,33.91,15.6,43.71,1460.9,8.67,0.248,4.07767,Mild congestion
14,95,32.07551206,17.36974382,609,night,19.21404437,40.37,28.09,17.28,43.45,1574.74,9.3,0.451,-1.7307693,Very smooth
15,33,50.60977629,58.40308804,941,evening,12.19496153,47,33.29,18.99,34.51,1564.86,7.39,0.436,1.527778,Smooth
16,71,10.52806537,54.42502855,892,morning,13.86241981,6.04,91.02,117.35,92.58,72.77,59.25,-0.934,-0.5172412,Very smooth
17,106,62.3855238,97.57396516,1237,night,13.88648293,3.78,84.83,120.3,94.65,83.74,57.26,-1.033,1.2857143,Smooth
18,99,48.56982857,41.24088008,1420,morning,63.90187873,5.35,88.49,125.12,92.48,86.84,54.92,-0.956,1.2857143,Smooth
19,39,51.47436948,42.15232631,1216,night,20.69046981,44.98,26.7,20.26,38.95,1514.73,10.04,0.487,1.7567571,Smooth
20,73,39.26742605,16.3871385,602,evening,8.744318623,46.72,30.53,17.93,39.62,1526.71,7.07,0.306,3.7755103,Mild congestion
21,104,37.52275903,59.75715546,748,afternoon,47.1792334,44.94,32.15,21.32,41.92,1567.6,8.61,0.524,1.6438359,Smooth
22,37,17.01234834,84.7852269,1440,night,17.5797577,4.97,82.84,124.56,93.49,98.21,62.03,-1.066,2.6506028,Mild congestion
23,119,67.35718396,24.79231646,902,night,4.71209245,22.39,55.3,51.57,69.93,850.88,22.89,-0.392,2.5609758,Mild congestion
24,106,24.79368334,0.907790065,1121,afternoon,195.0351553,42.14,35.12,15.61,40.19,1498.1,10.59,0.32,-0.3389827,Very smooth
25,99,35.58340461,69.14736233,883,afternoon,0.832169688,24.88,57.46,45.44,67.95,832.78,25.27,-0.158,0.46875036,Smooth
26,63,31.04324124,3.137379165,578,morning,37.05708224,46.41,30,26.51,37.4,1533.6,8.71,0.389,4.07767,Mild congestion
27,68,66.65677472,40.92762993,891,evening,56.42883399,72.36,8.66,3.71,12.72,2064.64,1.39,0.795,0.8955226,Smooth
28,121,38.31368241,61.27103377,1255,afternoon,13.10000467,46.52,29.05,25.27,38.95,1571.42,10.75,0.541,0.8955226,Smooth
29,54,69.26811894,38.60117171,746,night,5.135872411,22.97,57.07,44.49,68.53,791.86,28.05,-0.321,1.6438359,Smooth
30,54,61.65861015,26.05782162,521,afternoon,17.21072578,69.18,15.24,3.38,16.37,2025.64,1.58,0.922,-5.186163791,Very smooth
31,44,31.1135833,79.9266508,917,afternoon,19.76104896,69.85,9.07,6.41,12.02,1984.48,2.76,0.829,0.7692308,Smooth
32,35,47.97702801,30.09331981,573,evening,243.7055853,25.75,59.7,46.64,71.08,779.77,23.5,-0.345,1.3043478,Smooth
33,100,16.0685348,18.00467933,1106,evening,0.589728696,26.53,57.19,51.4,71.1,792.82,23.96,-0.281,1.6666665,Smooth
34,44,57.98997972,38.8396705,517,morning,32.00328918,7.05,89.76,120.28,94.49,139.16,56.29,-0.996,0.7692308,Smooth
35,79,36.89195656,13.16649001,1412,evening,48.95797243,1.82,92.25,117.28,95.11,110.62,55.32,-1.074,1.4285711,Smooth
36,112,28.87689187,69.0396978,1276,morning,28.86251033,73.17,8.67,6.24,10.3,2034.25,1.65,0.816,1.0447758,Smooth
37,64,44.5247688,71.00804155,1454,afternoon,29.82200905,45.53,25.7,19.53,37.72,1458.39,8.66,0.445,0.62499994,Smooth
38,102,40.71895162,1.477859313,884,morning,62.45794608,5.39,87.93,117.26,96.16,92.62,59.05,-0.882,2.207792,Smooth
39,87,55.65315578,69.48664925,521,morning,24.9840345,5.66,88.32,116.9,94.48,94.24,62.64,-0.911,0.9090906,Smooth
40,129,87.99839187,29.89873396,650,evening,64.00688527,44.46,28.5,21.64,41.59,1574.82,9.69,0.484,2.207792,Smooth
41,127,76.45067913,65.62035939,829,afternoon,7.07872914,69.01,10.2,7.54,10.14,1977.34,2.59,0.609,0.32258034,Smooth
42,106,26.12585656,70.64840359,515,morning,21.7777137,23.32,59.14,50.76,70.47,820.7,25.69,-0.447,1.5492955,Smooth
43,120,80.70510299,27.77814269,719,afternoon,1.025200564,68.15,9.95,7.25,7.8,1984.49,0.49,0.954,0.62499994,Smooth
44,56,50.93596283,18.53856066,1139,night,48.81026494,5.76,94.32,116.63,93.74,94.1,65.05,-1.146,-0.34482786,Very smooth
45,84,0,82.63589218,1166,night,45.05581084,5.9,94.65,115.62,93.62,92.87,57.09,-1.011,0.7692308,Smooth
46,40,45.45642279,73.91842794,765,night,23.23331398,42.83,25.58,21.61,38.39,1492.38,8.6,0.33,1.1764705,Smooth
47,76,18.83897219,83.71423399,825,afternoon,15.11664852,5.75,92.73,126.54,93.98,86.06,56.97,-0.927,1.1764705,Smooth
48,51,41.23842537,43.57198732,550,night,13.8664022,67.06,10.9,7.06,9.49,2006.94,0.99,0.798,1.1764705,Smooth
49,66,88.1716641,45.63687849,761,evening,6.735929143,72.49,10.52,3.85,11.45,2039.39,3.34,0.906,1.4285711,Smooth
50,70,23.79057517,34.41671683,866,afternoon,16.75268314,69.22,9.07,6.56,11.96,1950.39,0.45,0.841,2.1621618,Smooth
51,80,23.20227936,49.90624639,1268,night,10.86825783,23.5,65.1,51.68,67.4,707.65,27.36,-0.231,6.506024,Heavy congestion
52,78,48.03175505,64.65700551,1380,night,25.85916317,5.79,92.61,118.33,92.61,123.45,60.74,-0.963,5.735294,Heavy congestion
53,60,33.64683547,81.45449345,1468,morning,46.32120848,70.82,7.64,4.26,12.73,2010.23,1.9,0.826,5.3225803,Heavy congestion
54,56,44.88835719,18.31706355,1486,afternoon,35.53850669,22.75,60.22,48.91,65.86,788.13,25.6,-0.225,6.704545,Heavy congestion
55,52,52.17397295,40.54176305,743,night,21.643638,46.45,29.84,21.17,41.79,1489.1,10.35,0.353,3.555555,Mild congestion
56,30,20.38696882,46.12016364,939,afternoon,89.04567001,47.34,29.47,20.87,41.19,1495.29,10.02,0.28,3.555555,Mild congestion
57,105,54.56748611,48.79945501,958,afternoon,6.594121157,46.77,23.27,17.34,40.13,1447.36,9.84,0.334,6.704545,Heavy congestion
58,118,34.77676815,54.19729095,655,evening,30.64729361,27.34,62.81,46.97,72.83,776.83,25.65,-0.33,5.0847454,Heavy congestion
59,89,71.44331698,80.17472543,720,night,2.764844276,46.97,24.63,18.08,42.4,1461.21,10.99,0.403,5.3225803,Heavy congestion
60,85,32.52893136,88.62505787,1425,evening,33.53505524,70.46,9.44,6.41,10.07,1968.79,1.54,0.797,6.1842103,Heavy congestion
61,98,35.77498471,15.91576694,1272,night,38.76618379,48.24,27.79,23.24,41.47,1511.04,8.63,0.428,6.1842103,Heavy congestion
62,42,31.37574977,71.26818415,1319,afternoon,45.78282814,4.57,95.84,120.3,95.67,105.82,64.83,-0.894,6.88172,Heavy congestion
63,40,41.71399296,47.91082459,627,afternoon,32.69788821,4.65,87.07,115.47,95.05,130.11,55.55,-0.832,4.3137255,Mild congestion
64,74,21.17546725,41.77167127,698,afternoon,3.92451527,4.51,93.6,125.91,95.98,98.45,64.36,-0.851,6.282051,Heavy congestion
65,74,60.44254652,11.33431591,703,afternoon,1.359100687,26.76,61.04,42.78,72.18,753.6,24.35,-0.21,6.627907,Heavy congestion
66,50,39.45509962,6.413575155,901,night,37.58035817,25.55,60.1,52.01,74.74,855.51,21.48,-0.271,6.627907,Heavy congestion
67,40,66.23768325,97.78109773,810,morning,48.0191957,70.78,11.94,1.32,11.47,2057.72,0.7,0.807,2.3684208,Smooth
68,104,51.17163163,64.23685226,513,afternoon,0.995570487,48.05,28.07,24.63,40.56,1459.73,12.09,0.472,5.538461,Heavy congestion
69,57,84.24418512,45.24258829,1185,night,4.873180031,44.53,35.21,15.85,44.17,1530.29,11.02,0.249,6.506024,Heavy congestion
70,39,44.83731381,76.17635053,1036,afternoon,46.86038979,70.68,8.36,8.42,8.88,2013.54,1.37,0.698,5.6716413,Heavy congestion
71,119,42.84475757,9.113273252,1290,morning,103.099973,70.13,10.19,6.36,9.86,2037.64,1.61,0.741,5.6716413,Heavy congestion
72,41,61.77121861,60.74463919,540,night,22.05263057,5.21,89.05,119,96.85,101.57,58.47,-1.025,6.282051,Heavy congestion
73,73,8.471950716,66.06115908,1097,afternoon,4.992683055,43.41,28.43,17.48,42.36,1479.42,9.43,0.255,0.66666603,Smooth
74,38,40.40571434,45.20549039,531,evening,11.62566238,45.95,28.1,22.09,43.12,1482.34,12.14,0.291,-1.200001,Very smooth
75,45,48.26199907,25.25986184,912,morning,45.61853109,5.57,91.48,122.68,95,94.38,60.8,-1.053,2.8205123,Mild congestion
76,116,64.48844496,95.45848894,772,evening,23.5069688,46.72,29.67,22.77,39.86,1539.59,8.72,0.358,-6.354401557,Very smooth
77,115,68.60762631,30.11349,554,evening,1.785978106,24.46,64.76,56.26,71.4,785.73,23.38,-0.232,-6.354401557,Very smooth
78,128,72.38211833,12.47969324,797,afternoon,11.0632625,43.87,28.8,22.53,36.91,1535.44,10.2,0.345,-1.200001,Very smooth
79,37,44.09883121,63.04735776,1085,evening,41.92564527,25.68,61.43,54.29,73.74,823.69,23.98,-0.345,-2.1739132,Very smooth
80,119,35.26536594,57.4322972,642,night,11.82601801,69.91,7.17,6.76,8.23,1991.18,2.27,0.882,-2.1739132,Very smooth
81,96,51.17727182,75.47725383,1223,morning,16.98633429,5.11,96.87,119.96,93.53,120.7,58.68,-0.961,-1.200001,Very smooth
82,33,44.67759072,75.37831323,586,night,70.63191565,71.09,12.97,4.72,10.25,1960.63,1.49,0.784,-6.354401557,Very smooth
83,104,16.5018782,62.02359429,682,evening,125.2854846,70.17,11.56,6.84,13.08,2030.08,2.47,0.818,-0.7692314,Very smooth
84,103,53.27994992,20.75352949,881,night,42.46582521,23.67,55.8,49.13,69.25,824.25,25.14,-0.308,1.2499999,Smooth
85,57,31.70167686,88.71455422,900,morning,8.238071008,74.56,10.31,8.29,10.49,2033.96,2.36,0.684,1.7647053,Smooth
86,111,45.44451529,24.8283005,1368,evening,8.35755177,66.15,8.22,8.38,10.85,2000.53,1,0.875,1.7647053,Smooth
87,107,44.22857035,9.398428844,1350,morning,10.88363387,41.57,24.65,20.69,40.85,1449.08,13.18,0.439,1.7647053,Smooth
88,37,92.83095354,30.1499124,716,afternoon,5.250437649,5,85.27,123.05,97.37,87.94,60.09,-0.969,-6.354401557,Very smooth
89,74,67.98933261,48.32321992,878,afternoon,5.91084621,46.75,26.84,13.31,40.78,1441.43,9.47,0.525,-1.6666664,Very smooth
90,40,62.81921381,20.71826472,1089,night,8.871008723,44.8,27.82,19.32,39.39,1475.61,10.41,0.299,0.96774155,Smooth
91,117,69.43939665,33.36716687,707,night,32.35425735,44.1,31.82,23.21,35.92,1521.97,11.08,0.363,0.96774155,Smooth
92,118,43.07962418,51.36931921,1383,evening,28.43880331,3.31,87.7,117.74,94.91,113.21,65.09,-0.946,2.222222,Smooth
93,78,25.1218298,32.29394285,1185,evening,12.5064795,47.11,28.49,15.73,41.14,1491.07,10.6,0.375,0.34482783,Smooth
94,97,6.781908176,8.931735148,543,afternoon,6.569598326,68.86,9.51,4.8,9.28,1991.36,2.13,0.867,2.8205123,Mild congestion
95,131,60.81823715,19.72135168,916,afternoon,29.34673149,4.08,87.95,117.56,93.71,106.55,56.05,-0.91,0.96774155,Smooth
96,78,61.07952161,79.42068788,861,morning,4.207998954,45.86,27.6,18.98,36.99,1440.97,10.55,0.306,0.96774155,Smooth
97,94,34.80141517,95.43316189,1088,afternoon,4.743378007,71.46,12.4,9.8,10.43,1923.68,0.85,0.782,0.66666603,Smooth
98,112,37.25746545,14.84368892,545,afternoon,14.50442647,4.61,91.63,126.54,90.81,86.44,60.59,-1.015,4.2857137,Mild congestion
99,76,33.97814347,68.10190525,1142,morning,25.13618229,41.52,25.51,19.9,41.81,1470.02,10.63,0.443,4.2857137,Mild congestion
100,53,34.01778914,90.55797754,779,afternoon,39.09046437,68.22,10.56,7.6,10.86,2041.14,1.28,0.783,2.0000014,Smooth
101,65,39.91224421,29.91428593,812,night,34.84467452,45.43,38.01,16.77,41.85,1467.41,7.78,0.366,5,Mild congestion
102,37,56.72187607,82.94617348,671,morning,14.26625746,3.88,89.75,124.68,95,76.74,54.66,-1.018,3.3333354,Mild congestion
